Short _Name,Long_Name,Short_Description,Long_Description,Data_Source,,,,,,,,,,,,,,,,,,,,,
r79_2018,Financial_Services_Proximate_Units_2018,Number of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2018; Mecklenburg County Tax Parcels 2018",,,,,,,,,,,,,,,,,,,,,
m79_2017,Fincancial_Services_Proximity_2017,Percentage of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union divided by the total number of housing units. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2017; Mecklenburg County Tax Parcels 2017",,,,,,,,,,,,,,,,,,,,,
r79_2017,Financial_Services_Proximate_Units_2017,Number of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2017; Mecklenburg County Tax Parcels 2017",,,,,,,,,,,,,,,,,,,,,
m79_2016,Fincancial_Services_Proximity_2016,Percentage of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union divided by the total number of housing units. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2016; Mecklenburg County Tax Parcels 2016",,,,,,,,,,,,,,,,,,,,,
r79_2016,Financial_Services_Proximate_Units_2016,Number of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2016; Mecklenburg County Tax Parcels 2016",,,,,,,,,,,,,,,,,,,,,
m79_2015,Fincancial_Services_Proximity_2015,Percentage of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union divided by the total number of housing units. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2015; Mecklenburg County Tax Parcels 2015",,,,,,,,,,,,,,,,,,,,,
r79_2015,Financial_Services_Proximate_Units_2015,Number of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2015; Mecklenburg County Tax Parcels 2015",,,,,,,,,,,,,,,,,,,,,
m79_2014,Fincancial_Services_Proximity_2014,Percentage of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union divided by the total number of housing units. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2014; Mecklenburg County Tax Parcels 2013",,,,,,,,,,,,,,,,,,,,,
r79_2014,Financial_Services_Proximate_Units_2014,Number of housing units within ½-mile of a bank or credit union,Number of housing units within 1/2 mile of a federally insured bank or credit union. Only includes establishments located in Mecklenburg County.,"FDIC and National Credit Union Association, 2014; Mecklenburg County Tax Parcels 2013",,,,,,,,,,,,,,,,,,,,,
Education,,,,,,,,,,,,,,,,,,,,,,,,,
m20_2018,Bachelors_Degree_2018,Percentage of adults with a Bachelor's degree or higher,Population age 25 or older with a Bachelor's degree or higher divided by total population age 25 or older.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m20_moe_2018,Bachelors_Degree_moe_2018,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m20_2017,Bachelors_Degree_2017,Percentage of adults with a Bachelor's degree or higher,Population age 25 or older with a Bachelor's degree or higher divided by total population age 25 or older.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m20_moe_2017,Bachelors_Degree_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m39_2018,High_School_Diploma_2018,Percentage of adults with a high school diploma or equivalent,The number of people age 25 or older with a high school diploma or equivalent divided by the total population age 25 or older.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m39_moe_2018,High_School_Diploma_moe_2018,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m39_2017,High_School_Diploma_2017,Percentage of adults with a high school diploma or equivalent,The number of people age 25 or older with a high school diploma or equivalent divided by the total population age 25 or older.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m39_moe_2017,High_School_Diploma_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m21_2017,Early_Care_Proximity_2017,Percent of housing units with 1/2 mile of a licensed early care and education program,"The number of housing units within ½-mile of a licensed early care and education program for children birth to age 5, divided by the total number of housing units.","Child Care Resources, Inc., June 2017; Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
r21_2017,Early_Care_Proximate_Units_2017,Number of housing units within 1/2 mile of a licensed early care and education program,The number of housing units within ½-mile of a licensed early care and education program for children birth to age 5. Licensed programs include Center-Based Care and Family Child Care Homes. Private part-day pre-school programs and publicly sponsored Pre-Kindergarten programs are not included. Only includes programs located in Mecklenburg County.,"Child Care Resources, Inc., June 2017; Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
m21_2015,Early_Care_Proximity_2015,Percent of housing units with 1/2 mile of a licensed early care and education program,"The number of housing units within ½-mile of a licensed early care and education program for children birth to age 5, divided by the total number of housing units.","Child Care Resources, Inc., June 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
r21_2015,Early_Care_Proximate_Units_2015,Number of housing units within 1/2 mile of a licensed early care and education program,The number of housing units within ½-mile of a licensed early care and education program for children birth to age 5. Licensed programs include Center-Based Care and Family Child Care Homes. Private part-day pre-school programs and publicly sponsored Pre-Kindergarten programs are not included. Only includes programs located in Mecklenburg County.,"Child Care Resources, Inc., June 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
m21_2013,Early_Care_Proximity_2013,Percent of housing units with 1/2 mile of a licensed early care and education program,"The number of housing units within ½-mile of a licensed early care and education program for children birth to age 5, divided by the total number of housing units.","Child Care Resources, Inc., June 2013; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
r21_2013,Early_Care_Proximate_Units_2013,Number of housing units within 1/2 mile of a licensed early care and education program,The number of housing units within ½-mile of a licensed early care and education program for children birth to age 5. Licensed programs include Center-Based Care and Family Child Care Homes. Private part-day pre-school programs and publicly sponsored Pre-Kindergarten programs are not included. Only includes programs located in Mecklenburg County.,"Child Care Resources, Inc., June 2013; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
m21_2011,Early_Care_Proximity_2011,Percent of housing units with 1/2 mile of a licensed early care and education program,"The number of housing units within ½-mile of a licensed early care and education program for children birth to age 5, divided by the total number of housing units.","Child Care Resources, Inc., August 2012; Mecklenburg County Tax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
r21_2011,Early_Care_Proximate_Units_2011,Number of housing units within 1/2 mile of a licensed early care and education program,The number of housing units within ½-mile of a licensed early care and education program for children birth to age 5. Licensed programs include Center-Based Care and Family Child Care Homes. Private part-day pre-school programs and publicly sponsored Pre-Kindergarten programs are not included. Only includes programs located in Mecklenburg County.,"Child Care Resources, Inc., August 2012; Mecklenburg County Tax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
m22_2017,SchoolAge_Proximity_2017,Percent of housing units with 1/2 mile of a licensed school-age program,"The number of housing units within ½-mile of a licensed school-age care program for children ages 5-12, divided by the total number of housing units.","Child Care Resources, Inc., June 2017; Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
r22_2017,SchoolAge_Proximate_Units_2017,Number of housing units within 1/2 mile of a licensed school-age program,The number of housing units within ½-mile of a licensed school-age care program for children ages 5-12. License-exempt programs are not included. Programs that operate seasonally or for fewer than four hours per day are not required to be licensed. Only includes programs located in Mecklenburg County.,"Child Care Resources, Inc., June 2017; Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
m22_2015,SchoolAge_Proximity_2015,Percent of housing units with 1/2 mile of a licensed school-age program,"The number of housing units within ½-mile of a licensed school-age care program for children ages 5-12, divided by the total number of housing units.","Child Care Resources, Inc., June 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
r22_2015,SchoolAge_Proximate_Units_2015,Number of housing units within 1/2 mile of a licensed school-age program,The number of housing units within ½-mile of a licensed school-age care program for children ages 5-12. License-exempt programs are not included. Programs that operate seasonally or for fewer than four hours per day are not required to be licensed. Only includes programs located in Mecklenburg County.,"Child Care Resources, Inc., June 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
m22_2013,SchoolAge_Proximity_2013,Percent of housing units with 1/2 mile of a licensed school-age program,"The number of housing units within ½-mile of a licensed school-age care program for children ages 5-12, divided by the total number of housing units.","Child Care Resources, Inc., June 2013; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
r22_2013,SchoolAge_Proximate_Units_2013,Number of housing units within 1/2 mile of a licensed school-age program,The number of housing units within ½-mile of a licensed school-age care program for children ages 5-12. License-exempt programs are not included. Programs that operate seasonally or for fewer than four hours per day are not required to be licensed. Only includes programs located in Mecklenburg County.,"Child Care Resources, Inc., June 2013; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
m22_2011,SchoolAge_Proximity_2011,Percent of housing units with 1/2 mile of a licensed school-age program,"The number of housing units within ½-mile of a licensed school-age care program for children ages 5-12, divided by the total number of housing units.","Child Care Resources, Inc., August 2012; Mecklenburg County Tax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
r22_2011,SchoolAge_Proximate_Units_2011,Number of housing units within 1/2 mile of a licensed school-age program,The number of housing units within ½-mile of a licensed school-age care program for children ages 5-12. License-exempt programs are not included. Programs that operate seasonally or for fewer than four hours per day are not required to be licensed. Only includes programs located in Mecklenburg County.,"Child Care Resources, Inc., August 2012; Mecklenburg County Tax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
m51_2015,Library_Card_Prevalence_2015,Percentage of population with an active library card,Active library card holders divided by total population estimate.,"Charlotte-Mecklenburg Public Library, June 2014- June 2015; Population Estimate, 2015",,,,,,,,,,,,,,,,,,,,,
r51_2015,Library_Card_Holders_2015,Number of active library card holders,Number of active library card holders. Active cards have been used at elast one in the last year.,"Charlotte-Mecklenburg Public Library, June 2014- June 2015",,,,,,,,,,,,,,,,,,,,,
m51_2013,Library_Card_Prevalence_2013,Percentage of population with an active library card,Active library card holders divided by total population estimate.,"Charlotte-Mecklenburg Public Library, Oct. 2012- Oct. 2013; Population Estimate, 2013",,,,,,,,,,,,,,,,,,,,,
r51_2013,Library_Card_Holders_2013,Number of active library card holders,Number of active library card holders. Active cards have been used at elast one in the last year.,"Charlotte-Mecklenburg Public Library, Oct. 2012- Oct. 2013",,,,,,,,,,,,,,,,,,,,,
m62_2017,Proficiency_Elementary_School_2017,Percentage of students in grades 3-5 proficient on End of Grade testing,Number of students in grades 3-5 achieving a proficient score on both reading and math end of grade tests divided by the total number of students in grades 3-5 taking both reading and math end of grade tests.,"Charlotte-Mecklenburg Schools, 2016-17",,,,,,,,,,,,,,,,,,,,,
m62_2016,Proficiency_Elementary_School_2016,Percentage of students in grades 3-5 proficient on End of Grade testing,Number of students in grades 3-5 achieving a proficient score on both reading and math end of grade tests divided by the total number of students in grades 3-5 taking both reading and math end of grade tests.,"Charlotte-Mecklenburg Schools, 2015-16",,,,,,,,,,,,,,,,,,,,,
m62_2015,Proficiency_Elementary_School_2015,Percentage of students in grades 3-5 proficient on End of Grade testing,Number of students in grades 3-5 achieving a proficient score on both reading and math end of grade tests divided by the total number of students in grades 3-5 taking both reading and math end of grade tests.,"Charlotte-Mecklenburg Schools, 2014-15",,,,,,,,,,,,,,,,,,,,,
m62_2014,Proficiency_Elementary_School_2014,Percentage of students in grades 3-5 proficient on End of Grade testing,Number of students in grades 3-5 achieving a proficient score on both reading and math end of grade tests divided by the total number of students in grades 3-5 taking both reading and math end of grade tests.,"Charlotte-Mecklenburg Schools, 2013-14",,,,,,,,,,,,,,,,,,,,,
m63_2017,Proficiency_Middle_School_2017,Percentage of students in grades 6-8 proficient inEnd of Grade testing,Number of students in grades 6-8 achieving a proficient score on both reading and math end of grade tests divided by the total number of students in grades 6-8 taking both reading and math end of grade tests.,"Charlotte-Mecklenburg Schools, 2016-17",,,,,,,,,,,,,,,,,,,,,
m63_2016,Proficiency_Middle_School_2016,Percentage of students in grades 6-8 proficient inEnd of Grade testing,Number of students in grades 6-8 achieving a proficient score on both reading and math end of grade tests divided by the total number of students in grades 6-8 taking both reading and math end of grade tests.,"Charlotte-Mecklenburg Schools, 2015-16",,,,,,,,,,,,,,,,,,,,,
m63_2015,Proficiency_Middle_School_2015,Percentage of students in grades 6-8 proficient inEnd of Grade testing,Number of students in grades 6-8 achieving a proficient score on both reading and math end of grade tests divided by the total number of students in grades 6-8 taking both reading and math end of grade tests.,"Charlotte-Mecklenburg Schools, 2014-15",,,,,,,,,,,,,,,,,,,,,
m63_2014,Proficiency_Middle_School_2014,Percentage of students in grades 6-8 proficient inEnd of Grade testing,Number of students in grades 6-8 achieving a proficient score on both reading and math end of grade tests divided by the total number of students in grades 6-8 taking both reading and math end of grade tests.,"Charlotte-Mecklenburg Schools, 2013-14",,,,,,,,,,,,,,,,,,,,,
m64_2017,Proficiency_High_School_2017,Percentage of students in grades 9-12 proficient in End of Course testsing,Number of students in grades 9-12 achieving a proficient score on two or more end of course tests divided by the total number of students in grades 9-12 with valid scores on two or more end of course tests.,"Charlotte-Mecklenburg Schools, 2016-17",,,,,,,,,,,,,,,,,,,,,
m64_2016,Proficiency_High_School_2016,Percentage of students in grades 9-12 proficient in End of Course testsing,Number of students in grades 9-12 achieving a proficient score on two or more end of course tests divided by the total number of students in grades 9-12 with valid scores on two or more end of course tests.,"Charlotte-Mecklenburg Schools, 2015-16",,,,,,,,,,,,,,,,,,,,,
m64_2015,Proficiency_High_School_2015,Percentage of students in grades 9-12 proficient in End of Course testsing,Number of students in grades 9-12 achieving a proficient score on two or more end of course tests divided by the total number of students in grades 9-12 with valid scores on two or more end of course tests.,"Charlotte-Mecklenburg Schools, 2014-15",,,,,,,,,,,,,,,,,,,,,
m64_2014,Proficiency_High_School_2014,Percentage of students in grades 9-12 proficient in End of Course testsing,Number of students in grades 9-12 achieving a proficient score on two or more end of course tests divided by the total number of students in grades 9-12 with valid scores on two or more end of course tests.,"Charlotte-Mecklenburg Schools, 2013-14",,,,,,,,,,,,,,,,,,,,,
m65_2017,Highschool_Graduation_Rate_2017,Percentage of students graduating high school in 4 years,"Number of students that graduated from high school in 4 years, using 4-year cohort data. A cohort refers to a high school class and is calculated by: students who entered ninth grade in a particular year, plus students who transferred into the district in the grade appropriate to the cohort, minus students who transferred out of the district or are deceased. Drop-out students count as non-graduates unless they later enroll in another school and graduate on time. Students who receive a GED are not counted as high school graduates for these calculations.","Charlotte-Mecklenburg Schools, 2016-17",,,,,,,,,,,,,,,,,,,,,
m65_2016,Highschool_Graduation_Rate_2016,Percentage of students graduating high school in 4 years,"Number of students that graduated from high school in 4 years, using 4-year cohort data. A cohort refers to a high school class and is calculated by: students who entered ninth grade in a particular year, plus students who transferred into the district in the grade appropriate to the cohort, minus students who transferred out of the district or are deceased. Drop-out students count as non-graduates unless they later enroll in another school and graduate on time. Students who receive a GED are not counted as high school graduates for these calculations.","Charlotte-Mecklenburg Schools, 2015-16",,,,,,,,,,,,,,,,,,,,,
m65_2015,Highschool_Graduation_Rate_2015,Percentage of students graduating high school in 4 years,"Number of students that graduated from high school in 4 years, using 4-year cohort data. A cohort refers to a high school class and is calculated by: students who entered ninth grade in a particular year, plus students who transferred into the district in the grade appropriate to the cohort, minus students who transferred out of the district or are deceased. Drop-out students count as non-graduates unless they later enroll in another school and graduate on time. Students who receive a GED are not counted as high school graduates for these calculations.","Charlotte-Mecklenburg Schools, 2014-15",,,,,,,,,,,,,,,,,,,,,
m65_2014,Highschool_Graduation_Rate_2014,Percentage of students graduating high school in 4 years,"Number of students that graduated from high school in 4 years, using 4-year cohort data. A cohort refers to a high school class and is calculated by: students who entered ninth grade in a particular year, plus students who transferred into the district in the grade appropriate to the cohort, minus students who transferred out of the district or are deceased. Drop-out students count as non-graduates unless they later enroll in another school and graduate on time. Students who receive a GED are not counted as high school graduates for these calculations.","Charlotte-Mecklenburg Schools, 2013-14",,,,,,,,,,,,,,,,,,,,,
m65_2013,Highschool_Graduation_Rate_2013,Percentage of students graduating high school in 4 years,"Number of students that graduated from high school in 4 years, using 4-year cohort data. A cohort refers to a high school class and is calculated by: students who entered ninth grade in a particular year, plus students who transferred into the district in the grade appropriate to the cohort, minus students who transferred out of the district or are deceased. Drop-out students count as non-graduates unless they later enroll in another school and graduate on time. Students who receive a GED are not counted as high school graduates for these calculations.","Charlotte-Mecklenburg Schools, 2012-13",,,,,,,,,,,,,,,,,,,,,
m66_2017,Student_Absenteeism_2017,Percentage of students absent 10% or more of school days,"Number of students absent 10 percent or more of days in membership (number of days enrolled), divided by the total number of students. These data include both excused and unexcused absences.","Charlotte-Mecklenburg Schools, 2016-17",,,,,,,,,,,,,,,,,,,,,
m66_2016,Student_Absenteeism_2016,Percentage of students absent 10% or more of school days,"Number of students absent 10 percent or more of days in membership (number of days enrolled), divided by the total number of students. These data include both excused and unexcused absences.","Charlotte-Mecklenburg Schools, 2015-16",,,,,,,,,,,,,,,,,,,,,
m66_2015,Student_Absenteeism_2015,Percentage of students absent 10% or more of school days,"Number of students absent 10 percent or more of days in membership (number of days enrolled), divided by the total number of students. These data include both excused and unexcused absences.","Charlotte-Mecklenburg Schools, 2014-15",,,,,,,,,,,,,,,,,,,,,
m66_2014,Student_Absenteeism_2014,Percentage of students absent 10% or more of school days,"Number of students absent 10 percent or more of days in membership (number of days enrolled), divided by the total number of students. These data include both excused and unexcused absences.","Charlotte-Mecklenburg Schools, 2013-14",,,,,,,,,,,,,,,,,,,,,
m66_2013,Student_Absenteeism_2013,Percentage of students absent 10% or more of school days,"Number of students absent 10 percent or more of days in membership (number of days enrolled), divided by the total number of students. These data include both excused and unexcused absences.","Charlotte-Mecklenburg Schools, 2012-13",,,,,,,,,,,,,,,,,,,,,
m67_2017,Neighborhood_School_Attendance_2017,Percent of students attending their assigned school,Number of students attending their assigned school divided by the total number of students.,"Charlotte-Mecklenburg Schools, 2016-17",,,,,,,,,,,,,,,,,,,,,
m67_2016,Neighborhood_School_Attendance_2016,Percent of students attending their assigned school,Number of students attending their assigned school divided by the total number of students.,"Charlotte-Mecklenburg Schools, 2015-16",,,,,,,,,,,,,,,,,,,,,
m67_2015,Neighborhood_School_Attendance_2015,Percent of students attending their assigned school,Number of students attending their assigned school divided by the total number of students.,"Charlotte-Mecklenburg Schools, 2014-15",,,,,,,,,,,,,,,,,,,,,
m67_2014,Neighborhood_School_Attendance_2014,Percent of students attending their assigned school,Number of students attending their assigned school divided by the total number of students.,"Charlotte-Mecklenburg Schools, 2013-14",,,,,,,,,,,,,,,,,,,,,
m67_2013,Neighborhood_School_Attendance_2013,Percent of students attending their assigned school,Number of students attending their assigned school divided by the total number of students.,"Charlotte-Mecklenburg Schools, 2012-13",,,,,,,,,,,,,,,,,,,,,
m67_2011,Neighborhood_School_Attendance_2011,Percent of students attending their assigned school,Number of students attending their assigned school divided by the total number of students.,"Charlotte-Mecklenburg Schools, 2010-11",,,,,,,,,,,,,,,,,,,,,
Engagement ,,,,,,,,,,,,,,,,,,,,,,,,,
m50_2013,Arts_Participation_2013,Percent of households that participated in an ASC-sponsored activity,"Number of households that participated in at least one arts and culture activity and/or organization sponsored by the Arts & Science Council (ASC), divided by total number of households. Total households are calculated by multiplying the occupancy rate from the US Postal Service by the number of housing units from the Mecklenburg County tax parcel database.","Arts and Science Council 2012-2013; Household Estimate, 2013",,,,,,,,,,,,,,,,,,,,,
r50_2013,Arts_Participating_Households_2013,Number of households participating in an ASC-sponsored activity,"Participation is measured by ticket purchases, memberships and donations to one or more of the 22 organizations that receive operating support grants from the Arts & Science Council (ASC), and/or ASC membership. Participation is limited to people whose household location could be determined, e.g., provided address information or paid with a credit card and provided a billing address.",Arts and Science Council 2012-2013;,,,,,,,,,,,,,,,,,,,,,
m52_2016,311_Requests_2016,Number of 311 calls per 100 people,"Number of calls and online requests to Char-Meck 311 divided by the total population estimate, multiplied by 100.","Charlotte-Mecklenburg 311, July 1 2015- June 30, 2016; Population Estimate, 2016",,,,,,,,,,,,,,,,,,,,,
r52_2016,311_Calls_2016,Number of 311 calls,Number of calls and online requests to Char-Meck 311,"Charlotte-Mecklenburg 311, July 1 2015- June 30, 2016",,,,,,,,,,,,,,,,,,,,,
m52_2015,311_Requests_2015,Number of 311 calls per 100 people,"Number of calls and online requests to Char-Meck 311 divided by the total population estimate, multiplied by 100.","Charlotte-Mecklenburg 311, July 1 2014- June 30, 2015; Population Estimate, 2015",,,,,,,,,,,,,,,,,,,,,
r52_2015,311_Calls_2015,Number of 311 calls,Number of calls and online requests to Char-Meck 311,"Charlotte-Mecklenburg 311, July 1 2014- June 30, 2015",,,,,,,,,,,,,,,,,,,,,
m52_2013,311_Requests_2013,Number of 311 calls per 100 people,"Number of calls and online requests to Char-Meck 311 divided by the total population estimate, multiplied by 100.","Charlotte-Mecklenburg 311, July 1 2012- June 30, 2013; Population Estimate, 2013",,,,,,,,,,,,,,,,,,,,,
r52_2013,311_Calls_2013,Number of 311 calls,Number of calls and online requests to Char-Meck 311,"Charlotte-Mecklenburg 311, July 1 2012- June 30, 2013",,,,,,,,,,,,,,,,,,,,,
m48_2018,Voter_Participation_2018,Percentage of registered voters that voted in the 2018 general election,"Number of voters in 2018 general election divided by the total number of registered voters. Total registered voters may include people who have moved but not notified the Board of Elections, if they did not vote in the election.","Mecklenburg County Board of Elections, 2018",,,,,,,,,,,,,,,,,,,,,
r48_2018,Voters_Participating_2018,Number of voters in 2018 general election,Number of voters in 2018 general election.,"Mecklenburg County Board of Elections, 2018",,,,,,,,,,,,,,,,,,,,,
m48_2017,Voter_Participation_2017,Percentage of registered voters that voted in the 2017 general (local) election,"Number of voters in 2017 general (local) election divided by the total number of registered voters. Total registered voters may include people who have moved but not notified the Board of Elections, if they did not vote in the election.","Mecklenburg County Board of Elections, 2017",,,,,,,,,,,,,,,,,,,,,
r48_2017,Voters_Participating_2017,Number of voters in 2017 general election,Number of voters in 2017 general election.,"Mecklenburg County Board of Elections, 2017",,,,,,,,,,,,,,,,,,,,,
m48_2016,Voter_Participation_2016,Percentage of registered voters that voted in the 2016 general election,"Number of voters in 2016 general election divided by the total number of registered voters. Total registered voters may include people who have moved but not notified the Board of Elections, if they did not vote in the election.","Mecklenburg County Board of Elections, 2016",,,,,,,,,,,,,,,,,,,,,
r48_2016,Voters_Participating_2016,Number of voters in 2016 general election,Number of voters in 2016 general election.,"Mecklenburg County Board of Elections, 2016",,,,,,,,,,,,,,,,,,,,,
m48_2015,Voter_Participation_2015,Percentage of registered voters that voted in the 2015 general (local) election,"Number of voters in 2015 general (local) election divided by the total number of registered voters. Total registered voters may include people who have moved but not notified the Board of Elections, if they did not vote in the election.","Mecklenburg County Board of Elections, 2015",,,,,,,,,,,,,,,,,,,,,
r48_2015,Voters_Participating_2015,Number of voters in 2015 general election,Number of voters in 2015 general election.,"Mecklenburg County Board of Elections, 2015",,,,,,,,,,,,,,,,,,,,,
m48_2014,Voter_Participation_2014,Percentage of registered voters that voted in the 2014 general election,"Number of voters in 2014 general election divided by the total number of registered voters. Total registered voters may include people who have moved but not notified the Board of Elections, if they did not vote in the election.","Mecklenburg County Board of Elections, 2014",,,,,,,,,,,,,,,,,,,,,
r48_2014,Voters_Participating_2014,Number of voters in 2014 general election,Number of voters in 2014 general election.,"Mecklenburg County Board of Elections, 2014",,,,,,,,,,,,,,,,,,,,,
m48_2012,Voter_Participation_2012,Percentage of registered voters that voted in the 2012 general election,"Number of voters in 2012 general election divided by the total number of registered voters. Total registered voters may include people who have moved but not notified the Board of Elections, if they did not vote in the election.","Mecklenburg County Board of Elections, 2012",,,,,,,,,,,,,,,,,,,,,
r48_2012,Voters_Participating_2012,Number of voters in 2012 general election,Number of voters in 2012 general election.,"Mecklenburg County Board of Elections, 2012",,,,,,,,,,,,,,,,,,,,,
m48_2010,Voter_Participation_2010,Percentage of registered voters that voted in the 2010 general election,"Number of voters in 2010 general election divided by the total number of registered voters. Total registered voters may include people who have moved but not notified the Board of Elections, if they did not vote in the election.","Mecklenburg County Board of Elections, 2010",,,,,,,,,,,,,,,,,,,,,
r48_2010,Voters_Participating_2010,Number of voters in 2010 general election,Number of voters in 2010 general election.,"Mecklenburg County Board of Elections, 2010",,,,,,,,,,,,,,,,,,,,,
m72_2018,Board_Committee_Participation_2018,"Residents serving on municipal boards and commitees per 1,000 people","Number of residents that serve on appointed city, town, and/or county boards, committees and commissions including libraries, sheriff and police departments, divided by total population estimate, and multiplied by 1,000.","Mecklenburg County, City of Charlotte, Town of Cornelius  2018; Population Estimate, 2018",,,,,,,,,,,,,,,,,,,,,
r72_2018,Board_Committee_Participants_2018,Number of residents serving on municipal boards and commitees,"Number of residents that serve on appointed city, town, and/or county boards, committees and commissions including libraries, sheriff and police departments","Mecklenburg County, City of Charlotte, Townsof Cornelius;  2018",,,,,,,,,,,,,,,,,,,,,
m72_2017,Board_Committee_Participation_2017,"Residents serving on municipal boards and commitees per 1,000 people","Number of residents that serve on appointed city, town, and/or county boards, committees and commissions including libraries, sheriff and police departments, divided by total population estimate, and multiplied by 1,000.","Mecklenburg County, City of Charlotte, Town of Cornelius  2016; Population Estimate, 2017",,,,,,,,,,,,,,,,,,,,,
r72_2017,Board_Committee_Participants_2017,Number of residents serving on municipal boards and commitees,"Number of residents that serve on appointed city, town, and/or county boards, committees and commissions including libraries, sheriff and police departments","Mecklenburg County, City of Charlotte, Townsof Cornelius;  2017",,,,,,,,,,,,,,,,,,,,,
r73_2015,Neighborhood_Organizations_2015,Number of neighborhood organizations,Number of neighborhood organizations registered with the Charlotte-Mecklenburg Planning Department.,"Charlotte-Mecklenburg Planning Department, 2015",,,,,,,,,,,,,,,,,,,,,
r73_2014,Neighborhood_Organizations_2014,Number of neighborhood organizations,Number of neighborhood organizations registered with the Charlotte-Mecklenburg Planning Department.,"Charlotte-Mecklenburg Planning Department, 2014",,,,,,,,,,,,,,,,,,,,,
Environment,,,,,,,,,,,,,,,,,,,,,,,,,
